,N2,CO2,H2S,C1,C2,C3,C4,C5,C6,C7+,SG C7+,MW C7+,"T, ℉","Pb, psi"
53,0.2,0.8,0.0,31.42,7.6,7.23,4.88,1.97,0.99,44.91,0.889,251.0,132.0,1738.0
54,0.06,0.81,0.0,31.34,7.42,5.68,2.82,1.63,2.64,47.6,0.892,270.0,132.0,1751.0
55,0.19,0.12,0.0,28.62,8.66,6.52,4.78,2.71,3.62,44.78,0.925,274.0,135.0,1766.0
56,0.2,1.19,0.0,32.26,7.57,5.97,3.85,3.17,3.63,42.16,0.879,134.0,133.0,1788.0
57,0.1,1.16,0.0,32.93,7.78,6.06,3.73,2.92,3.7,41.62,0.879,279.0,133.0,1805.0
58,0.19,2.51,0.0,31.89,7.51,6.59,4.77,3.51,3.29,39.74,0.92,324.0,134.0,1825.0
59,0.18,2.46,0.0,30.26,7.3,6.36,4.61,3.54,3.22,42.08,0.914,299.0,134.0,1825.0
60,0.0,1.12,0.21,26.95,10.76,9.23,4.97,2.62,3.33,40.81,0.876,249.0,208.0,1877.0
61,0.41,0.65,0.0,30.21,6.89,6.6,5.88,4.62,4.27,40.47,0.875,247.0,135.0,1880.0
62,0.0,1.25,0.0,33.35,9.24,6.07,2.4,1.62,2.78,43.29,0.851,252.0,230.0,2110.0
63,0.08,1.37,0.69,35.97,8.67,5.94,2.97,1.5,3.1,39.71,0.898,274.0,168.0,2505.0
64,0.0,0.68,0.0,48.79,10.57,6.21,3.46,4.56,2.8,24.8,0.847,218.0,230.0,2730.0
65,0.13,1.45,0.75,36.02,8.83,6.13,4.1,2.8,2.49,37.3,0.896,230.0,166.0,2873.0
66,0.02,0.99,0.04,38.79,10.07,6.86,4.18,2.92,2.77,33.38,0.849,210.0,240.0,3019.0
67,0.01,0.89,0.3,39.68,10.37,7.18,4.47,3.09,2.75,31.53,0.932,197.0,243.0,3061.0
68,0.03,0.97,0.0,41.64,10.82,7.52,4.5,3.0,2.43,29.08,0.85,208.0,241.0,3069.0
69,0.04,0.78,0.0,40.91,10.72,6.64,4.44,2.62,2.51,31.34,0.845,202.0,241.0,3120.0
70,0.06,0.85,0.0,40.7,10.54,6.55,4.41,2.72,2.81,31.36,0.847,195.0,243.0,3180.0
71,0.06,1.1,0.0,43.13,10.46,7.24,4.57,2.82,2.34,28.29,0.884,214.0,241.0,3218.0
72,0.03,1.04,0.03,41.88,10.6,7.01,4.29,3.16,2.89,29.07,0.848,200.0,235.0,3234.0
73,0.05,0.85,0.0,41.05,11.07,7.07,4.82,2.89,3.19,29.01,0.848,198.0,241.0,3335.0
74,0.06,0.94,0.0,44.44,10.76,6.18,4.04,2.63,2.57,28.38,0.846,195.0,240.0,3630.0
75,0.21,0.34,0.0,20.04,7.93,8.0,6.6,5.87,5.08,45.93,0.861,230.0,235.0,900.0
76,0.43,3.47,3.68,19.49,8.28,6.85,4.3,4.18,2.42,46.9,0.876,246.0,230.0,993.0
77,0.24,1.53,0.6,13.16,6.38,7.62,6.77,5.65,6.37,51.68,0.876,275.0,190.0,1140.0
78,0.77,1.99,1.4,17.38,6.42,7.62,5.62,4.53,5.14,49.13,0.891,267.0,234.0,1190.0
79,0.25,2.19,1.16,16.33,6.29,7.48,6.09,4.36,3.58,52.27,0.88,249.0,215.0,1261.0
80,0.17,0.65,1.93,12.59,6.05,6.51,4.26,4.52,1.14,62.18,0.877,230.0,239.0,1490.0
81,0.32,3.69,0.68,21.55,8.6,7.66,6.4,5.07,2.62,43.41,0.869,243.0,239.0,1591.0
82,0.41,0.26,0.0,6.14,2.38,4.71,6.27,5.64,4.68,69.51,0.86,225.0,134.0,346.0
83,0.21,0.75,0.51,6.05,2.59,5.83,7.69,6.14,5.42,64.81,0.857,231.0,148.0,352.0
84,0.33,0.35,0.0,6.72,2.19,4.04,5.54,5.3,4.47,71.06,0.858,225.0,138.0,360.0
85,0.3,0.01,0.0,7.14,1.54,3.71,7.31,6.65,6.19,67.15,0.86,233.0,140.0,374.0
86,0.31,0.28,0.02,6.8,1.98,4.01,6.62,6.57,6.65,66.76,0.858,237.0,144.0,374.0
87,0.88,1.34,0.0,5.63,2.51,4.6,7.31,5.99,4.71,67.03,0.855,224.0,128.0,376.0
88,0.35,0.56,1.41,9.99,1.45,1.87,3.64,4.47,5.23,71.03,0.872,258.0,148.0,506.0
89,0.29,0.46,0.49,10.75,1.11,1.58,3.68,4.03,4.75,72.86,0.861,261.0,145.0,519.0
90,0.37,0.02,0.0,17.28,6.11,8.23,5.47,3.76,3.96,54.8,0.851,242.0,156.0,537.0
91,0.39,0.14,0.0,21.4,6.4,7.43,5.06,4.34,4.45,50.39,0.842,245.0,149.0,1124.0
92,1.02,0.12,0.0,19.76,5.52,6.89,4.87,4.49,2.67,54.66,0.85,247.0,160.5,1152.0
93,0.78,0.1,0.0,20.64,5.8,7.05,6.9,5.95,5.11,47.67,0.857,237.0,157.0,1209.0
94,1.39,0.28,0.0,21.32,6.21,8.11,6.37,3.84,5.45,47.03,0.87,257.0,156.0,1220.0
95,0.54,0.18,0.0,21.62,6.03,8.39,7.1,4.75,3.85,47.54,0.863,236.0,156.0,1257.0
96,0.53,0.12,0.0,22.8,6.45,8.51,6.6,4.71,4.24,46.04,0.864,242.0,156.0,1325.0
97,0.6,0.12,0.0,23.71,7.18,8.71,6.85,5.17,2.85,44.81,0.868,238.0,156.0,1386.0
98,0.68,0.16,0.0,22.84,6.28,7.83,6.24,4.63,3.44,47.9,0.864,226.0,156.0,1407.0
99,1.13,0.13,0.0,25.45,6.99,9.6,7.87,5.93,1.88,41.02,0.851,237.0,157.0,1446.0
100,0.33,0.19,0.0,35.42,3.36,0.9,0.95,0.4,0.72,57.73,0.917,255.0,159.0,2307.0
101,0.67,2.11,0.0,34.93,7.0,7.82,5.48,3.8,3.04,35.15,0.855,230.0,238.0,2724.0
102,0.41,0.44,0.0,40.48,7.74,8.2,5.45,3.64,2.83,31.42,0.845,210.0,208.0,2886.0
103,0.9,0.16,0.0,47.12,5.97,4.62,3.49,2.55,2.19,33.0,0.85,217.0,166.0,3394.0
104,0.4,1.0,0.0,45.4,4.2,0.89,1.08,0.94,1.01,45.08,0.888,250.0,160.0,3466.0
105,0.52,6.47,0.0,39.58,10.68,7.27,5.28,3.65,2.9,23.67,0.858,176.0,310.0,3627.0
106,0.36,1.06,0.0,50.5,4.54,0.9,1.15,0.89,1.6,39.0,0.901,291.0,156.0,3690.0
107,0.44,0.38,0.0,49.1,7.6,6.13,3.84,2.52,2.0,28.0,0.836,231.0,199.0,3739.0
108,0.31,0.69,0.0,47.69,6.64,4.59,2.59,1.16,1.69,34.64,0.869,234.0,232.0,3800.0
109,0.56,3.55,0.0,45.34,5.48,3.7,2.35,1.6,1.33,36.12,0.817,255.0,199.0,3885.0
110,0.34,0.84,0.0,49.23,6.32,4.46,3.04,2.26,2.06,31.45,0.865,230.0,200.0,3981.0
111,0.03,8.39,0.0,47.43,10.29,6.12,4.2,2.89,2.05,18.61,0.83,180.0,295.0,4000.0
112,0.34,7.1,0.0,48.43,9.24,5.84,4.39,3.21,2.28,19.17,0.805,183.0,314.0,4082.0
113,0.38,7.03,0.0,48.73,8.93,5.48,4.05,3.0,2.14,20.26,0.805,181.0,309.0,4156.0
114,0.0,0.0,0.0,52.0,3.81,2.37,1.72,1.2,2.01,36.84,0.841,199.0,201.0,3828.0
115,0.0,0.0,0.0,52.0,3.81,2.37,1.72,1.2,2.06,36.84,0.841,199.0,200.0,3839.0
116,1.64,0.08,0.0,28.4,7.16,10.48,8.4,3.82,4.05,35.97,0.843,252.0,131.0,1708.0
117,0.45,0.44,0.0,35.05,4.64,2.46,7.66,1.6,5.46,48.24,0.836,225.0,180.0,2520.0
118,0.0,0.0,0.0,42.0,8.0,6.0,2.0,1.0,4.0,37.0,0.823,255.0,155.0,3250.0
119,1.67,1.38,0.0,26.68,9.25,10.18,6.4,4.03,0.0,40.41,0.855,217.0,210.0,1954.0
120,0.65,0.02,0.0,45.02,12.45,8.93,6.03,3.02,1.44,22.44,0.81,184.0,140.0,3002.0
121,0.25,0.24,0.0,40.91,10.38,9.01,5.13,3.28,2.21,28.58,0.8,182.0,300.0,3043.0
122,0.24,0.27,0.0,66.83,8.28,5.15,3.31,2.04,1.85,12.03,0.8,182.0,215.0,4810.0
123,0.0,0.01,0.0,31.0,10.41,11.87,7.32,4.41,2.55,32.43,0.743,199.0,130.0,1620.0
124,1.02,0.4,0.0,54.62,11.47,7.33,4.01,1.96,1.42,17.77,0.808,218.0,164.0,3900.0
125,0.33,3.03,0.0,41.33,8.89,5.95,4.12,2.66,0.0,33.69,0.848,200.0,200.0,3200.0
126,0.71,3.84,1.17,59.49,5.55,4.06,3.06,1.58,1.27,19.27,0.78,297.0,158.0,6880.0
127,0.0,9.11,0.0,45.58,5.11,3.03,2.18,1.92,1.54,31.53,0.894,270.0,190.0,3840.0
128,0.0,0.0,0.0,60.88,7.38,5.03,2.78,1.96,1.84,20.13,0.836,191.0,190.0,5000.0
129,1.67,2.18,0.0,60.51,7.52,4.74,4.12,2.97,0.0,16.29,0.789,181.0,246.0,4823.0
130,0.09,0.31,0.0,1.35,0.43,0.62,0.64,0.98,2.65,92.93,1.042,369.0,141.3,97.0
131,0.05,0.33,0.0,1.01,0.35,0.49,0.67,0.55,1.01,95.53,1.046,390.0,160.0,119.0
132,0.08,0.8,0.0,0.76,0.24,0.36,0.3,0.17,0.83,96.46,1.048,381.0,158.0,129.0
133,0.1,0.38,0.0,0.78,0.25,0.38,0.47,0.81,1.78,95.06,0.973,395.0,163.5,170.0
134,0.13,0.52,0.0,5.03,7.67,5.96,5.24,3.55,9.06,62.83,0.931,346.0,184.0,365.0
135,0.13,0.88,0.17,14.14,5.3,6.37,5.91,2.45,6.77,57.87,0.904,306.0,177.0,769.0
136,1.18,0.17,0.0,17.2,3.91,2.37,1.72,0.65,2.34,70.46,0.973,385.0,204.0,908.0
137,0.22,2.06,0.01,17.3,8.04,6.67,5.03,2.78,4.95,52.94,0.938,294.0,203.0,1155.0
138,0.08,4.14,0.96,19.31,5.98,6.25,4.49,2.27,6.53,49.98,0.777,315.0,260.0,1305.0
139,0.2,0.51,0.0,21.08,8.59,6.09,4.66,2.95,10.25,45.67,0.91,350.0,225.0,1309.0
140,0.3,0.93,0.0,18.91,7.2,5.21,4.04,2.2,5.44,55.77,0.918,271.0,222.0,1379.0
141,0.12,0.5,2.27,20.15,5.67,7.09,6.74,1.92,5.42,50.13,0.897,261.0,240.0,1439.0
142,0.26,0.81,0.09,23.46,7.79,6.59,5.48,3.12,6.26,46.14,0.929,346.0,220.0,1454.0
143,0.28,3.51,0.53,21.57,6.72,6.09,5.19,3.31,5.44,47.36,0.914,331.0,235.0,1458.0
144,0.15,6.98,3.1,19.21,5.59,6.79,4.93,3.07,5.44,44.76,0.891,293.0,248.0,1473.0
145,0.59,0.61,0.0,28.05,5.64,3.83,3.9,2.23,4.97,50.17,0.812,204.0,154.5,1484.0
146,0.19,5.15,3.31,20.53,4.82,6.03,5.81,2.46,6.63,45.07,0.898,325.0,250.0,1496.0
147,0.59,0.61,0.0,28.05,5.64,3.83,3.9,2.23,4.97,50.17,0.805,199.0,149.0,1503.0
148,0.12,5.99,2.77,20.56,6.79,5.9,4.15,3.74,7.47,42.51,0.908,353.0,250.0,1569.0
149,0.08,0.49,2.6,22.3,6.99,6.32,4.81,3.13,4.85,48.43,0.894,253.0,240.0,1635.0
150,0.24,1.27,0.08,23.01,7.59,5.43,4.89,3.9,6.04,47.55,0.939,314.0,220.0,1668.0
151,0.86,0.47,0.0,26.0,8.4,6.83,4.5,2.85,6.95,43.14,0.915,298.0,207.3,1670.0
152,0.22,2.99,0.44,25.35,7.93,5.5,4.25,2.59,4.99,45.74,0.932,339.0,220.0,1689.0
153,0.4,4.33,0.27,22.79,7.32,5.5,5.06,2.66,5.66,46.02,0.927,326.0,240.0,1692.0
154,0.21,5.14,2.7,22.0,7.1,5.34,3.77,2.53,5.55,45.65,0.926,315.0,255.0,1722.0
155,0.23,0.7,0.0,24.04,7.98,5.52,4.02,2.72,5.2,49.58,0.912,243.0,225.0,1737.0
156,0.35,0.66,0.0,27.91,5.87,6.82,3.97,1.79,4.9,47.72,0.934,315.0,201.0,1851.0
157,0.27,4.15,1.54,22.58,7.01,5.71,4.66,2.97,5.45,45.65,0.934,305.0,255.0,1862.0
158,0.19,4.37,2.19,23.96,7.33,5.55,4.71,3.49,5.18,43.03,0.913,291.0,245.0,1944.0
159,0.55,1.19,0.15,32.6,6.72,5.66,5.0,2.5,5.08,40.54,0.885,285.0,174.0,1956.0
160,0.2,3.7,0.62,25.24,7.76,6.35,5.31,1.79,4.83,44.19,0.92,301.0,255.0,1978.0
161,0.12,0.26,0.0,31.97,6.68,5.29,3.82,2.8,5.53,43.53,0.885,260.0,170.0,2009.0
162,0.05,1.18,0.42,32.35,5.89,5.37,4.33,2.59,5.7,42.13,0.873,265.0,135.0,2017.0
163,0.14,0.54,0.18,31.73,6.9,6.09,4.84,2.1,5.34,42.13,0.884,267.0,170.0,2025.0
164,0.4,4.95,2.04,27.1,8.69,6.31,4.35,3.28,5.84,37.04,0.895,285.0,216.0,2071.0
165,0.43,1.09,0.04,30.63,8.4,5.75,4.33,2.04,4.57,42.71,0.91,318.0,198.0,2144.0
166,0.04,0.09,0.09,35.46,6.54,5.38,4.75,2.64,4.78,40.23,0.885,277.0,165.0,2152.0
167,0.13,1.08,0.92,37.43,6.51,5.52,4.91,2.89,5.04,35.56,0.877,299.0,140.0,2160.0
168,0.02,1.08,0.43,35.92,6.07,5.46,4.62,1.57,4.49,40.35,0.872,246.0,140.0,2167.0
169,0.06,1.2,0.0,30.26,9.41,6.92,5.04,3.11,5.16,38.84,0.854,242.0,265.0,2209.0
170,0.13,5.52,3.03,27.03,9.3,7.37,5.65,2.0,4.47,35.48,0.89,275.0,250.0,2295.0
171,0.08,0.04,0.0,38.27,9.56,6.67,4.7,2.08,4.37,34.23,0.894,267.0,150.0,2387.0
172,0.42,0.21,0.0,33.47,9.62,6.14,4.79,2.88,4.94,37.52,0.918,311.0,193.8,2447.0
173,0.44,2.9,0.46,29.74,8.02,5.62,4.45,2.74,5.23,40.4,0.925,298.0,238.0,2461.0
174,0.42,0.34,0.0,33.47,9.65,6.03,4.61,2.87,4.8,37.81,0.928,314.0,196.0,2490.0
175,0.39,3.3,1.07,33.32,9.38,6.32,4.59,2.3,5.42,33.91,0.913,272.0,209.0,2611.0
176,0.15,1.4,0.0,34.55,9.82,7.53,4.63,2.7,4.45,34.77,0.884,261.0,247.0,2715.0
177,0.06,2.45,0.59,38.65,6.66,5.33,3.94,2.74,4.67,34.91,0.903,330.0,185.0,2747.0
178,0.04,1.88,0.34,38.38,6.38,4.9,3.32,2.01,3.55,39.2,0.885,256.0,185.0,2786.0
179,0.42,0.79,0.36,35.91,10.48,6.89,4.7,2.75,5.11,32.58,0.885,243.0,190.0,2831.0
180,0.14,0.04,0.0,42.56,7.47,5.13,3.27,1.57,4.13,35.69,0.911,323.0,200.0,2874.0
181,0.01,0.23,0.0,16.88,13.7,14.04,11.12,5.22,4.91,33.89,0.871,269.0,190.0,3000.0
182,0.08,0.11,0.0,42.32,8.02,5.32,4.23,2.41,4.2,33.31,0.873,269.0,190.0,3064.0
