,N2,CO2,H2S,C1,C2,C3,C4,C5,C6,C7+,SG C7+,MW C7+,"T, ℉","Pb, psi"
222,0.32283521056029846,1.4850419685773726,0.2747686347657651,43.933711170098285,7.641365951646459,5.675945189755362,4.145132362436329,3.469330654996771,2.4040462013056887,30.647822655857667,0.8863554287222254,245.43008192883897,249.98,4589.00232
223,0.31499370012599753,1.4489710205795885,0.2680946381072379,45.00405991880162,7.625787484250315,5.61094778104438,4.068738625227495,3.409351812963741,2.3456530869382615,29.903401931961366,0.8863554287222254,245.43008192883897,249.98,4860.22338
224,0.30832476875642345,1.4182939362795477,0.26241863651935593,45.914354230901,7.612538540596095,5.555669749914354,4.003768413840357,3.3583418979102433,2.2959917780061665,29.270298047276466,0.8863554287222254,245.43008192883897,249.98,5148.849
225,0.45000000000000007,2.07,0.383,26.576,7.893999999999999,6.7299999999999995,5.384,4.442,3.351,42.72,0.8863554287222254,245.43008192883897,249.98,2114.6540400000004
226,0.5812642183945403,2.5031719207019827,0.49870003249918754,32.048592785180375,9.23214494637634,7.506334091647708,5.568895027624309,4.21097497562561,2.970146246343842,34.87977575560612,0.8855940479587188,244.69553103482718,249.98,2747.0197200000002
227,0.6249868746718669,2.6474566864171605,0.5372384309607741,33.87145278631966,9.677866196654916,7.764922373059327,5.630481512037801,4.134023100577515,2.8432880822020548,32.26828395709893,0.8852582968497174,244.37161127075717,249.98,3145.87422
228,0.640909090909091,2.7,0.5512727272727272,34.53527272727273,9.840181818181817,7.8590909090909085,5.652909090909091,4.106,2.7970909090909086,31.317272727272726,0.8851221197173232,244.24023280791897,249.98,3298.16412
229,0.6478118946839801,2.7227792524571344,0.5573570557428797,34.82306047779611,9.910550972092688,7.899916062845255,5.662632183083435,4.093851065356195,2.7770629169954804,30.90497811894684,0.8850604781568588,244.18076339981508,249.98,3396.78996
230,0.6600097998040039,2.7630323393532126,0.5681086378272434,35.33160856782864,10.034899902001957,7.972057958840822,5.679813803723925,4.072382752344953,2.7416715665686686,30.176414671706564,0.8849474336033658,244.07170235991043,249.98,3547.62948
231,0.6703836930455637,2.79726618705036,0.5772524837273039,35.764110996916756,10.140654333675915,8.033412127440904,5.694426173347037,4.054124700239808,2.7115724563206576,29.556796848235695,0.8848469078723228,243.97471899869595,249.98,3699.91938
232,0.0,0.774,0.0,36.203,9.736,6.744999999999999,4.9590000000000005,3.894,3.29,34.398999999999994,0.8568115799792556,219.97921451204977,230.0,2507.7070200000003
233,0.06429673437901774,0.9763203908459757,0.0,41.98213336761807,10.062341647381503,6.53282077654924,4.569076026399245,3.443351332819062,2.85706865518128,29.512591068826598,0.8566812697477557,219.86207327181364,230.0,2979.08052
234,0.09999611106790075,1.0886544294936609,0.0,45.19087267636308,10.243535817064634,6.415012833475926,4.35257913976822,3.193138368204091,2.6166928521428012,26.79951777241969,0.856588401110655,219.77858982462925,230.0,3478.0112400000003
235,0.12272727272727274,1.1601818181818184,0.0,47.234,10.35890909090909,6.34,4.214727272727273,3.033818181818182,2.4636363636363634,25.071999999999996,0.8565187948296635,219.71601786853864,230.0,3913.1252400000003
236,0.13845195236776517,1.2096621434505677,0.0,48.647369149819994,10.438720576017722,6.288108557186374,4.11936582664082,2.923605649404597,2.357756854057048,23.876959291055105,0.8564647496995721,219.66743447263212,230.0,4374.34608
237,0.15000000000000002,1.246,0.0,49.68533333333334,10.497333333333332,6.25,4.049333333333333,2.842666666666667,2.2800000000000002,22.99933333333333,0.8564214826722018,219.62853995767995,230.0,4728.2388
238,0.32,2.8,1.49,45.29,9.11,5.5,4.13,3.06,2.38,25.919999999999998,0.8589912973803372,222.6983024691358,217.94,3916.026
239,0.29230769230769227,3.9007692307692308,2.0253846153846156,49.81538461538461,10.476153846153846,5.56,3.6199999999999997,2.476153846153846,1.8653846153846152,19.968461538461536,0.8587968166827434,222.50679918332756,217.94,5047.3224
240,0.28571428571428575,4.162857142857143,2.152857142857143,50.89285714285714,10.801428571428572,5.574285714285714,3.4985714285714287,2.337142857142857,1.7428571428571429,18.551428571428573,0.8587321195771216,222.44309256121977,217.94,5540.4516
241,0.28,4.39,2.2633333333333336,51.82666666666667,11.083333333333334,5.586666666666667,3.3933333333333335,2.216666666666667,1.6366666666666665,17.32333333333333,0.8586674872059522,222.37944968250918,217.94,6149.6112
242,1.252,0.897,0.0,47.543,5.476,4.196,4.006,3.2350000000000003,2.734,30.660999999999994,0.8184741253831465,212.40659795831846,219.92,2480.1498
243,0.18,0.82,0.0,22.92,7.21,7.37,6.8100000000000005,5.85,4.84,43.99999999999999,0.8741862674314216,257.715,215.06,1405.41822
244,0.2,1.34,0.0,23.64,8.56,6.68,5.3,4.45,4.03,45.800000000000004,0.8733965180486718,254.43951965065497,210.02,1707.09726
245,0.45,1.64,0.0,45.85,7.15,6.74,3.9499999999999997,2.6799999999999997,2.52,29.020000000000003,0.8626032150831432,235.68814610613367,237.56,3707.17128
246,0.35,3.14,0.0,54.26,8.57,5.72,3.21,1.95,1.53,21.269999999999996,0.8367408735242533,199.02867889045606,239.0,4644.11676
247,0.45,2.07,0.383,26.576,7.894,6.73,5.384,4.442,3.351,42.72,0.8863554287222254,245.43008192883897,249.98,2114.6540400000004
248,0.0,0.774,0.0,36.203,9.736,6.745,4.959,3.894,3.29,34.399,0.8568115799792557,219.97921451204977,230.0,2507.7070200000003
249,0.0,2.13,0.0,31.28,7.51,6.93,6.26,4.74,4.37,36.779999999999994,0.8353697139651022,201.47607395323547,248.0,2232.13482
250,0.083,1.824,0.0,32.165,7.627,7.221,6.507000000000001,5.018000000000001,4.085,35.470000000000006,0.8354134205921807,208.06614040033833,248.0,2219.0814
251,0.249,3.601,2.32,47.642,6.497,4.5,4.959,3.299,2.7359999999999998,25.121000000000006,0.8301197041805969,212.7383464034075,249.98,3953.73588
252,0.249,3.601,2.32,47.642,6.497,4.5,4.959,3.299,2.7359999999999998,25.121000000000006,0.8301197041805969,212.7383464034075,86.18,3179.23296
253,0.249,3.601,2.32,47.642,6.497,4.5,4.959,3.299,2.7359999999999998,25.121000000000006,0.8301197041805969,212.7383464034075,174.74,3688.3163400000003
254,0.249,3.601,2.32,47.642,6.497,4.5,4.959,3.299,2.7359999999999998,25.121000000000006,0.8301197041805969,212.7383464034075,292.46,4011.7510800000005
255,0.4,2.548,0.355,47.244,6.937,4.805,4.253,3.4050000000000002,2.877,27.176,0.8451212789971217,214.2058801884015,249.98,3563.58366
256,0.67,0.86,0.0,46.83,6.63,6.21,4.25,3.13,2.48,28.94,0.856792011315555,217.28749136143747,213.08,3563.58366
257,0.32,2.8,1.49,45.29,9.11,5.5,4.13,3.06,2.38,25.92,0.8589912973803373,222.6983024691358,217.94,3916.026
258,0.32,2.8,1.49,45.29,9.11,5.5,4.13,3.06,2.38,25.92,0.8589912973803373,222.6983024691358,80.06,3080.60712
259,0.32,2.8,1.49,45.29,9.11,5.5,4.13,3.06,2.38,25.92,0.8589912973803373,222.6983024691358,190.04,3718.7743199999995
260,0.32,2.8,1.49,45.29,9.11,5.5,4.13,3.06,2.38,25.92,0.8589912973803373,222.6983024691358,249.98,3988.545
261,1.252,0.897,0.0,37.543,5.476,4.196,4.006,3.2350000000000003,2.734,30.661000000000005,0.8184741253831468,212.40659795831846,219.92,2480.1498
